Today's Date:	25 June 2012	Date of Test:	24 June 2012, 02:16:20 AM
Filename:	MB_U01_VZ02_D445	Tester Channel:	17
Procedure:	MB_Z02_LongTest.000	Description:	MB_SOC and ImpedanceCheck at 4.25V
MB_ImpedanceCheck
Rec#	Cyc#	Step	TestTime	StepTime	Amp-hr	Watt-hr	Amps	Volts	State	ES	DPt Time	ACImp/Ohms	DCIR/Ohms	VAR1	VAR2	VAR3	VAR4	VAR5	VAR6	VAR7	VAR8	VAR9	VAR10	VAR11	VAR12	VAR13	VAR14	VAR15	
1	0	1	  0d 00:00:0	  0d 00:00:0	0.00000	0.00000	0.00000	3.86702	R	0	06/24/2012 2:16:20 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
2	0	1	  0d 00:01:0	  0d 00:01:0	0.00000	0.00000	0.00000	3.86748	R	129	06/24/2012 2:17:20 AM	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
3	1	4	  0d 00:01:0	  0d 00:00:0	0.00000	0.00000	0.00050	3.86366	P	129	06/24/2012 2:17:21 AM	2.52653	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
4	1	5	  0d 00:01:0.00999999977648258	  0d 00:00:0.00999999977648258	0.00000	0.00000	0.00000	3.86709	D	0	06/24/2012 2:17:21 AM	2.52653	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
5	1	5	  0d 00:02:0.00999999977648258	  0d 00:01:0.00999999977648258	0.00001	0.00003	0.00050	3.86007	D	1	06/24/2012 2:18:21 AM	2.52653	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
6	1	5	  0d 00:03:0.00999999977648258	  0d 00:02:0.00999999977648258	0.00002	0.00006	0.00050	3.85901	D	1	06/24/2012 2:19:21 AM	2.52653	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
7	1	5	  0d 00:04:0.00999999977648258	  0d 00:03:0.00999999977648258	0.00002	0.00010	0.00050	3.85840	D	1	06/24/2012 2:20:21 AM	2.52653	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
8	1	5	  0d 00:05:0.00999999977648258	  0d 00:04:0.00999999977648258	0.00003	0.00013	0.00050	3.85794	D	1	06/24/2012 2:21:21 AM	2.52653	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
9	1	5	  0d 00:06:0.00999999977648258	  0d 00:05:0.00999999977648258	0.00004	0.00016	0.00050	3.85748	D	1	06/24/2012 2:22:21 AM	2.52653	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
10	1	5	  0d 00:07:0.00999999977648258	  0d 00:06:0.00999999977648258	0.00005	0.00019	0.00050	3.85710	D	1	06/24/2012 2:23:21 AM	2.52653	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
11	1	5	  0d 00:08:0.00999999977648258	  0d 00:07:0.00999999977648258	0.00006	0.00023	0.00050	3.85664	D	1	06/24/2012 2:24:21 AM	2.52653	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
12	1	5	  0d 00:09:0.00999999977648258	  0d 00:08:0.00999999977648258	0.00007	0.00026	0.00050	3.85634	D	1	06/24/2012 2:25:21 AM	2.52653	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
13	1	5	  0d 00:10:0.00999999977648258	  0d 00:09:0.00999999977648258	0.00007	0.00029	0.00050	3.85580	D	1	06/24/2012 2:26:21 AM	2.52653	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
